AÃ‘O,MUNICIPIO,DEPARTAMENTO,DESERCIÃ“N,DESERCIÃ“N_TRANSICIÃ“N,DESERCIÃ“N_PRIMARIA,DESERCIÃ“N_SECUNDARIA,DESERCIÃ“N_MEDIA
2023,MedellÃ­n,Antioquia,5.4,4.84,4.85,6.75,3.93
2023,Abejorral,Antioquia,4.15,3.33,2.86,6.36,03.03
2023,AbriaquÃ­,Antioquia,1.19,0.0,1.31,0.0,04.08
2023,AlejandrÃ­a,Antioquia,3.26,1.59,1.67,06.02,2.4
2023,AmagÃ¡,Antioquia,4.33,4.37,3.12,6.32,03.04
2023,Amalfi,Antioquia,2.6,1.49,2.37,2.63,4.63
2023,Andes,Antioquia,4.85,05.01,3.99,6.28,3.9
2023,AngelÃ³polis,Antioquia,4.48,03.08,4.31,5.96,1.8
2023,Angostura,Antioquia,3.97,3.45,03.06,5.8,2.99
2023,AnorÃ­,Antioquia,06.07,2.33,4.72,9.11,5.38
2023,SantafÃ© de Antioquia,Antioquia,4.13,3.37,3.31,06.06,1.64
2023,Anza,Antioquia,5.53,2.86,6.11,6.24,2.42
2023,ApartadÃ³,Antioquia,4.14,3.44,3.1,5.63,04.02
2023,Arboletes,Antioquia,3.49,1.31,03.06,4.16,4.3
2023,Argelia,Antioquia,4.46,1.87,4.37,5.16,4.32
2023,Armenia,Antioquia,2.23,4.35,2.44,2.44,0.0
2023,Barbosa,Antioquia,5.19,4.24,3.98,7.31,3.98
2023,Belmira,Antioquia,3.56,0.0,4.24,3.64,03.02
2023,Bello,Antioquia,5.21,5.1,4.73,6.35,3.79
2023,Betania,Antioquia,6.27,4.9,7.56,5.98,1.99
2023,Betulia,Antioquia,3.42,1.75,1.73,5.94,3.97
2023,Ciudad BolÃ­var,Antioquia,08.02,6.71,5.26,12.78,4.51
2023,BriceÃ±o,Antioquia,4.73,02.06,3.35,7.49,4.96
2023,BuriticÃ¡,Antioquia,6.89,2.13,5.53,10.12,6.13
2023,CÃ¡ceres,Antioquia,5.66,3.0,4.99,7.66,4.65
2023,Caicedo,Antioquia,3.78,3.2,3.38,5.23,1.49
2023,Caldas,Antioquia,6.73,4.81,4.85,8.92,7.78
2023,Campamento,Antioquia,2.6,01.03,1.78,4.95,0.0
2023,CaÃ±asgordas,Antioquia,4.89,3.64,4.18,07.04,1.88
2023,CaracolÃ­,Antioquia,5.9,2.5,5.7,7.92,2.17
2023,Caramanta,Antioquia,03.05,2.5,2.14,4.39,2.8
2023,Carepa,Antioquia,3.4,2.73,2.82,4.61,2.38
2023,El Carmen de Viboral,Antioquia,4.19,2.36,3.24,06.07,3.43
2023,Carolina,Antioquia,2.87,4.17,2.47,3.23,2.63
2023,Caucasia,Antioquia,3.77,2.55,03.08,5.48,2.23
2023,ChigorodÃ³,Antioquia,5.39,2.51,3.95,7.64,5.87
2023,Cisneros,Antioquia,6.67,9.17,5.8,7.76,4.97
2023,CocornÃ¡,Antioquia,4.5,3.31,3.54,5.79,5.16
2023,ConcepciÃ³n,Antioquia,02.05,2.38,01.02,3.66,0.99
2023,Concordia,Antioquia,5.86,3.72,5.3,7.77,04.06
2023,Copacabana,Antioquia,04.03,4.41,3.53,5.34,2.2
2023,Dabeiba,Antioquia,6.79,3.49,5.41,10.61,6.14
2023,Don MatÃ­as,Antioquia,9.25,10.61,06.09,12.49,10.12
2023,EbÃ©jico,Antioquia,5.34,4.0,4.48,07.08,3.7
2023,El Bagre,Antioquia,5.28,3.8,3.74,7.41,5.71
2023,Entrerrios,Antioquia,1.72,4.42,1.58,1.89,0.0
2023,Envigado,Antioquia,3.17,2.24,2.76,3.97,2.57
2023,Fredonia,Antioquia,6.54,6.74,5.71,8.41,3.95
2023,Frontino,Antioquia,5.97,3.94,5.95,7.19,04.02
2023,Giraldo,Antioquia,4.83,3.0,1.21,9.87,5.11
2023,Girardota,Antioquia,5.97,6.87,5.94,07.08,2.85
2023,GÃ³mez Plata,Antioquia,3.29,03.03,2.9,3.56,3.77
2023,Granada,Antioquia,4.31,4.2,2.38,7.95,2.6
2023,Guadalupe,Antioquia,2.37,1.56,0.53,3.44,5.19
2023,Guarne,Antioquia,5.78,6.11,5.61,6.85,3.15
2023,Guatape,Antioquia,4.43,5.69,3.82,5.26,3.73
2023,Heliconia,Antioquia,7.34,02.04,5.18,12.89,2.78
2023,Hispania,Antioquia,13.21,10.77,11.31,20.22,1.25
2023,ItagÃ¼Ã­,Antioquia,4.73,4.35,3.72,6.43,3.61
2023,Ituango,Antioquia,3.96,03.05,03.09,5.23,4.1
2023,JardÃ­n,Antioquia,3.55,1.84,2.18,5.12,4.42
2023,JericÃ³,Antioquia,2.28,3.13,1.96,2.85,1.54
2023,La Ceja,Antioquia,2.65,1.96,2.35,3.48,1.85
2023,La Estrella,Antioquia,03.01,5.28,2.71,3.11,2.63
2023,La Pintada,Antioquia,4.47,0.85,5.77,3.1,6.13
2023,La UniÃ³n,Antioquia,4.1,4.71,3.13,5.6,2.99
2023,Liborina,Antioquia,2.13,1.89,0.95,2.74,3.95
2023,Maceo,Antioquia,2.77,0.73,2.44,3.69,2.76
2023,Marinilla,Antioquia,5.29,5.49,4.75,6.95,2.54
2023,Montebello,Antioquia,3.48,1.59,2.5,5.76,1.59
2023,MurindÃ³,Antioquia,0.68,0.0,0.78,0.87,0.0
2023,MutatÃ¡,Antioquia,5.91,4.22,05.06,7.94,5.78
2023,NariÃ±o,Antioquia,3.5,0.0,2.88,4.48,5.29
2023,NecoclÃ­,Antioquia,5.37,2.5,3.53,7.95,6.27
2023,NechÃ­,Antioquia,4.95,2.59,3.84,7.26,4.19
2023,Olaya,Antioquia,3.52,2.78,4.85,2.16,3.13
2023,PeÃ±ol,Antioquia,3.55,4.47,3.37,3.96,2.39
2023,Peque,Antioquia,4.29,3.23,1.72,8.95,3.85
2023,Pueblorrico,Antioquia,4.47,4.44,3.45,6.7,02.03
2023,Puerto BerrÃ­o,Antioquia,3.47,5.53,3.3,3.87,1.75
2023,Puerto Nare,Antioquia,5.76,5.33,3.96,8.88,3.38
2023,Puerto Triunfo,Antioquia,6.56,3.9,5.19,9.63,5.1
2023,Remedios,Antioquia,5.64,4.55,4.68,7.76,04.05
2023,Retiro,Antioquia,3.58,2.13,3.12,5.23,1.23
2023,Rionegro,Antioquia,4.48,3.89,3.46,6.11,3.6
2023,Sabanalarga,Antioquia,4.5,4.55,3.55,6.23,03.07
2023,Sabaneta,Antioquia,3.88,3.85,3.49,5.23,1.74
2023,Salgar,Antioquia,7.34,3.35,06.02,10.88,3.8
2023,San AndrÃ©s,Antioquia,05.04,06.02,05.05,6.16,1.32
2023,San Carlos,Antioquia,4.1,2.0,3.65,5.95,1.84
2023,San Francisco,Antioquia,03.02,3.75,1.31,4.81,4.81
2023,San JerÃ³nimo,Antioquia,3.31,2.24,03.01,4.24,2.52
2023,San JosÃ© de la MontaÃ±a,Antioquia,1.73,0.0,1.9,1.43,2.86
2023,San Juan de UrabÃ¡,Antioquia,4.73,3.85,3.45,6.12,6.44
2023,San Luis,Antioquia,05.03,4.91,4.35,6.16,4.66
2023,San Pedro,Antioquia,3.54,1.52,2.69,5.4,2.47
