DEPARTAMENTO,TOTAL_REGISTROS
Antioquia,1625
Boyacá,1599
Cundinamarca,1508
Santander,1131
Nariño,832
Tolima,611
Bolívar,598
Cauca,546
Valle del Cauca,546
Norte de Santander,520
Huila,481
Chocó,390
Magdalena,390
Córdoba,390
Meta,377
Caldas,351
Sucre,338
Cesar,325
Atlántico,299
Casanare,247
Caquetá,208
La Guajira,195
Risaralda,182
Putumayo,169
Quindio,156
Amazonas,143
Guainía,113
Arauca,91
Vaupés,75
Vichada,52
Guaviare,52
"Archipiélago de San Andrés, Providencia y Santa Catalina",26
"Bogotá, D.C.",13
NACIONAL,3
TOTAL,14582
