AÑO,MUNICIPIO,DEPARTAMENTO,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2023,Medellín,Antioquia,Medellín,377562,96.15,95.94,81.42,94.01,83.58,57.69,107.16,94.23,105.58,115.53,100.69,5.4,4.84,4.85,6.75,3.93,85.37,88.95,77.84,88.8,9.23,0.15,6.21,15.4,7.27,9.25,1.82,8.34,13.69,4.48
2023,Abejorral,Antioquia,Antioquia (ETC),3634,74.38,74.38,50.55,74.32,63.78,40.95,81.54,65.93,87.91,83.4,69.68,4.15,3.33,2.86,6.36,3.03,88.08,89.88,82.7,92.56,7.77,0.56,7.26,10.93,4.41,9.07,1.67,10.28,11.32,2.2
2023,Amagá,Antioquia,Antioquia (ETC),5060,78.3,78.3,67.65,76.96,65.61,38.82,89.21,84.69,88.94,94.72,81.27,4.33,4.37,3.12,6.32,3.04,84.95,87.25,77.2,91.46,10.71,0.0,9.63,16.48,5.5,12.08,0.29,11.54,18.48,3.98
2023,Amalfi,Antioquia,Antioquia (ETC),5762,70.95,70.95,58.13,65.29,59.85,32.71,79.47,74.61,81.78,85.23,64.29,2.6,1.49,2.37,2.63,4.63,87.43,87.96,84.67,87.92,9.96,1.79,9.68,12.7,7.46,10.41,2.39,14.87,8.46,2.83
2023,Andes,Antioquia,Antioquia (ETC),7672,80.9,80.9,61.59,76.57,67.41,37.05,91.44,76.03,93.59,99.84,76.9,4.85,5.01,3.99,6.28,3.9,87.26,89.09,81.51,92.7,7.89,0.84,6.91,12.21,3.4,11.81,2.09,12.92,14.98,4.4
2023,Angelópolis,Antioquia,Antioquia (ETC),1017,81.32,81.32,62.96,79.19,72.51,44.32,99.8,80.25,91.15,111.99,105.68,4.48,3.08,4.31,5.96,1.8,88.1,93.26,77.48,94.59,7.42,0.0,2.43,16.56,3.6,11.31,1.54,10.51,18.54,0.0
2023,Angostura,Antioquia,Antioquia (ETC),2401,69.26,69.26,43.59,67.67,56.49,42.96,76.8,59.49,81.78,78.37,69.6,3.97,3.45,3.06,5.8,2.99,92.63,91.68,91.74,96.15,3.4,0.0,5.26,2.46,0.85,6.97,3.45,10.65,4.57,1.71
2023,Anorí,Antioquia,Antioquia (ETC),4477,71.72,71.72,45.9,69.16,60.85,35.14,76.95,66.15,84.79,78.23,58.71,6.07,2.33,4.72,9.11,5.38,90.21,91.42,87.13,89.24,3.72,0.0,3.86,3.77,5.38,5.81,2.33,7.35,5.69,2.2
2023,Santafé de Antioquia,Antioquia,Antioquia (ETC),5023,94.33,94.33,76.87,87.61,80.36,50.65,102.23,91.54,103.04,114.11,81.42,4.13,3.37,3.31,6.06,1.64,82.95,87.47,73.34,88.69,12.92,0.0,9.23,20.59,9.67,11.32,2.15,11.3,15.21,4.92
2023,Anza,Antioquia,Antioquia (ETC),1494,81.93,81.93,58.54,79.59,68.35,36.21,92.7,85.37,98.42,101.01,64.61,5.53,2.86,6.11,6.24,2.42,81.85,78.14,79.68,95.16,12.62,0.0,15.76,14.09,2.42,9.27,0.95,10.77,11.09,2.42
2023,Apartadó,Antioquia,Apartado,28391,91.17,91.16,64.67,84.45,77.96,58.34,104.53,91.54,99.15,112.92,107.81,4.14,3.44,3.1,5.63,4.02,87.88,91.41,82.02,86.88,7.98,0.0,5.49,12.35,9.1,8.12,1.43,7.16,11.94,4.99
2023,Arboletes,Antioquia,Antioquia (ETC),7592,89.65,89.65,56.73,79.18,76.01,50.17,104.1,83.21,98.66,118.04,101.47,3.49,1.31,3.06,4.16,4.3,91.17,92.15,88.21,91.8,5.34,0.0,4.79,7.63,3.89,9.66,1.31,11.09,11.56,4.5
2023,Armenia,Antioquia,Antioquia (ETC),795,49.18,49.18,28.57,43.15,50.76,26.52,56.1,36.51,48.81,72.35,51.52,2.23,4.35,2.44,2.44,0.0,88.83,92.68,81.71,96.15,8.93,0.0,4.88,15.85,3.85,15.14,0.0,4.88,29.88,7.69
2023,Bello,Antioquia,Bello,86977,89.91,89.85,73.82,88.65,76.56,48.41,100.04,86.56,101.72,107.85,87.47,5.21,5.1,4.73,6.35,3.79,84.15,87.01,77.06,88.54,10.64,0.81,8.26,16.6,7.66,11.24,2.81,9.41,17.38,5.12
